id,x,y,z,deadline,sf,gateways,windowlength,slotlength
1,5972,1848,0,735,12,1,981,14.9695
2,9912,3663,0,922,12,1:2,981,14.9695
3,5800,8777,0,587,12,1,981,14.9695
4,20300,1376,0,274,12,2,981,14.9695
5,18365,6454,0,163,12,2,981,14.9695
6,22735,10525,0,971,12,2,981,14.9695
7,15151,10468,0,241,12,2,981,14.9695
8,500,787,0,95,12,1,981,14.9695
9,10027,10371,0,220,12,1:2,981,14.9695
10,16137,4004,0,234,12,2,981,14.9695
11,13992,899,0,140,12,2,981,14.9695
12,8944,3990,0,406,12,1:2,981,14.9695
13,23443,7910,0,622,12,2,981,14.9695
14,23003,6554,0,666,12,2,981,14.9695
15,14796,4064,0,928,12,2:1,981,14.9695
16,14187,784,0,239,12,2,981,14.9695
17,16582,6115,0,18,12,2,981,14.9695
18,10150,1750,0,66,12,1:2,981,14.9695
19,18815,10741,0,83,12,2,981,14.9695
20,5781,5223,0,559,12,1,981,14.9695
21,20969,4006,0,369,12,2,981,14.9695
22,20884,11278,0,690,12,2,981,14.9695
23,83,9747,0,957,12,1,981,14.9695
24,4788,7439,0,757,12,1,981,14.9695
25,16323,10692,0,390,12,2,981,14.9695
26,17428,8751,0,487,12,2,981,14.9695
27,5051,9980,0,715,12,1,981,14.9695
28,11437,8487,0,295,12,1:2,981,14.9695
29,16390,10428,0,836,12,2,981,14.9695
30,617,5606,0,396,12,1,981,14.9695
31,10038,2133,0,377,12,1:2,981,14.9695
32,5285,8123,0,175,12,1,981,14.9695
33,21251,2590,0,214,12,2,981,14.9695
34,20422,11789,0,507,12,2,981,14.9695
35,10469,4121,0,51,12,1:2,981,14.9695
36,8042,7908,0,819,12,1,981,14.9695
37,7929,5270,0,929,12,1,981,14.9695
38,2023,8464,0,21,12,1,981,14.9695
39,15670,10561,0,841,12,2,981,14.9695
40,16830,10304,0,253,12,2,981,14.9695
41,1086,4445,0,239,12,1,981,14.9695
42,4351,465,0,507,12,1,981,14.9695
43,11418,6692,0,479,12,1:2,981,14.9695
44,23105,2296,0,480,12,2,981,14.9695
45,18959,2543,0,97,12,2,981,14.9695
46,16974,1230,0,823,12,2,981,14.9695
47,14936,10413,0,752,12,2,981,14.9695
48,7901,2886,0,251,12,1,981,14.9695
49,6809,679,0,939,12,1,981,14.9695
50,12290,10131,0,724,12,2:1,981,14.9695
51,13326,7663,0,788,12,2:1,981,14.9695
52,19063,9714,0,429,12,2,981,14.9695
53,15632,6403,0,591,12,2,981,14.9695
54,18011,4333,0,813,12,2,981,14.9695
55,8570,6404,0,781,12,1:2,981,14.9695
56,8114,9597,0,311,12,1,981,14.9695
57,23588,3844,0,282,12,2,981,14.9695
58,1837,5196,0,880,12,1,981,14.9695
59,9493,8745,0,269,12,1:2,981,14.9695
60,11677,5898,0,43,12,2:1,981,14.9695
61,14354,3043,0,56,12,2:1,981,14.9695
62,6984,4815,0,302,12,1,981,14.9695
63,533,8055,0,255,12,1,981,14.9695
64,22439,7810,0,912,12,2,981,14.9695
65,23075,5961,0,48,12,2,981,14.9695
66,9880,7057,0,231,12,1:2,981,14.9695
67,21104,6088,0,564,12,2,981,14.9695
68,3549,37,0,375,12,1,981,14.9695
69,6516,7931,0,249,12,1,981,14.9695
70,18399,11139,0,791,12,2,981,14.9695
71,20172,9988,0,779,12,2,981,14.9695
72,10934,7181,0,334,12,1:2,981,14.9695
73,22773,943,0,205,12,2,981,14.9695
74,9357,7622,0,898,12,1:2,981,14.9695
75,19571,8377,0,477,12,2,981,14.9695
76,14865,11478,0,600,12,2,981,14.9695
77,22718,10236,0,455,12,2,981,14.9695
78,1087,12041,0,728,12,1,981,14.9695
79,7050,7712,0,637,12,1,981,14.9695
80,17317,532,0,40,12,2,981,14.9695
81,6091,9054,0,788,12,1,981,14.9695
82,11743,4034,0,295,12,2:1,981,14.9695
83,15374,10795,0,572,12,2,981,14.9695
84,14783,5496,0,310,12,2:1,981,14.9695
85,14125,9893,0,126,12,2:1,981,14.9695
86,15486,7244,0,307,12,2,981,14.9695
87,13187,9274,0,708,12,2:1,981,14.9695
88,10695,2081,0,927,12,1:2,981,14.9695
89,62,3034,0,961,12,1,981,14.9695
90,12670,4754,0,312,12,2:1,981,14.9695
91,7068,8893,0,958,12,1,981,14.9695
92,19942,3304,0,850,12,2,981,14.9695
93,18104,3505,0,568,12,2,981,14.9695
94,13779,8627,0,179,12,2:1,981,14.9695
95,17110,3498,0,473,12,2,981,14.9695
96,22940,8483,0,81,12,2,981,14.9695
97,13544,11341,0,810,12,2,981,14.9695
98,7352,10550,0,921,12,1,981,14.9695
99,2984,7554,0,373,12,1,981,14.9695
100,10608,2633,0,424,12,1:2,981,14.9695
101,16377,8927,0,152,12,2,981,14.9695
102,249,11013,0,950,12,1,981,14.9695
103,13721,7151,0,45,12,2:1,981,14.9695
104,10676,423,0,266,12,1:2,981,14.9695
105,20154,3387,0,573,12,2,981,14.9695
106,12976,885,0,96,12,2:1,981,14.9695
107,20801,4418,0,757,12,2,981,14.9695
108,2598,7671,0,339,12,1,981,14.9695
109,8295,6717,0,594,12,1:2,981,14.9695
