id,x,y,z,deadline,sf,gateways,windowlength,slotlength
1,1743,3265,0,145,12,1,200,14.9695
2,4627,2041,0,5,12,1,200,14.9695
3,8604,6850,0,47,12,1,200,14.9695
4,4471,4444,0,106,12,1,200,14.9695
5,1456,9791,0,38,12,1,200,14.9695
6,2868,105,0,112,12,1,200,14.9695
7,6568,12391,0,102,12,1,200,14.9695
8,7372,6318,0,53,12,1,200,14.9695
9,7875,1865,0,81,12,1,200,14.9695
10,6785,6776,0,63,12,1,200,14.9695
11,11878,4158,0,196,12,1,200,14.9695
12,4283,2918,0,7,12,1,200,14.9695
13,2697,3041,0,99,12,1,200,14.9695
14,3272,2009,0,92,12,1,200,14.9695
15,12119,6718,0,138,12,1,200,14.9695
16,4208,119,0,52,12,1,200,14.9695
17,11658,2603,0,104,12,1,200,14.9695
18,1633,660,0,178,12,1,200,14.9695
19,2170,5471,0,98,12,1,200,14.9695
20,7477,6384,0,137,12,1,200,14.9695
21,9665,11447,0,49,12,1,200,14.9695
22,10270,11662,0,133,12,1,200,14.9695
23,2648,3387,0,124,12,1,200,14.9695
24,4286,9498,0,65,12,1,200,14.9695
25,4928,6705,0,64,12,1,200,14.9695
26,1098,7709,0,80,12,1,200,14.9695
27,9238,12106,0,152,12,1,200,14.9695
28,9855,2141,0,65,12,1,200,14.9695
29,5606,7025,0,177,12,1,200,14.9695
30,6826,1588,0,97,12,1,200,14.9695
31,5675,9010,0,141,12,1,200,14.9695
32,8624,3922,0,137,12,1,200,14.9695
33,1913,12092,0,117,12,1,200,14.9695
34,784,10602,0,17,12,1,200,14.9695
35,8487,393,0,178,12,1,200,14.9695
36,6119,10992,0,137,12,1,200,14.9695
37,12301,11006,0,34,12,1,200,14.9695
38,2654,5451,0,159,12,1,200,14.9695
39,11466,1801,0,72,12,1,200,14.9695
40,2836,184,0,189,12,1,200,14.9695
41,1799,11655,0,109,12,1,200,14.9695
42,6372,573,0,85,12,1,200,14.9695
43,6379,7123,0,59,12,1,200,14.9695
44,4096,2180,0,23,12,1,200,14.9695
45,10496,6393,0,95,12,1,200,14.9695
46,11592,7074,0,153,12,1,200,14.9695
47,1755,10919,0,57,12,1,200,14.9695
48,5644,6,0,100,12,1,200,14.9695
49,538,2672,0,183,12,1,200,14.9695
50,2778,11421,0,56,12,1,200,14.9695
51,3056,11467,0,36,12,1,200,14.9695
52,8339,889,0,120,12,1,200,14.9695
53,9343,6954,0,56,12,1,200,14.9695
54,9998,9188,0,11,12,1,200,14.9695
55,8958,624,0,66,12,1,200,14.9695
56,6727,1905,0,183,12,1,200,14.9695
57,6699,8136,0,24,12,1,200,14.9695
58,10832,10686,0,3,12,1,200,14.9695
59,1596,9810,0,49,12,1,200,14.9695
60,2439,3456,0,138,12,1,200,14.9695
61,10944,10517,0,123,12,1,200,14.9695
62,25,3601,0,8,12,1,200,14.9695
63,9217,9480,0,161,12,1,200,14.9695
64,6096,11578,0,90,12,1,200,14.9695
65,9377,3279,0,96,12,1,200,14.9695
66,4941,6549,0,128,12,1,200,14.9695
67,5215,8410,0,24,12,1,200,14.9695
68,4619,4927,0,174,12,1,200,14.9695
69,4202,8119,0,192,12,1,200,14.9695
70,2864,11930,0,181,12,1,200,14.9695
71,4817,7700,0,177,12,1,200,14.9695
72,6402,11842,0,126,12,1,200,14.9695
73,8872,11347,0,155,12,1,200,14.9695
74,1953,551,0,134,12,1,200,14.9695
75,11474,11631,0,64,12,1,200,14.9695
76,11449,10244,0,63,12,1,200,14.9695
77,3795,10752,0,168,12,1,200,14.9695
78,10957,477,0,193,12,1,200,14.9695
79,8300,4654,0,35,12,1,200,14.9695
80,6360,2275,0,99,12,1,200,14.9695
81,641,2973,0,73,12,1,200,14.9695
82,10927,1020,0,66,12,1,200,14.9695
83,4889,8929,0,13,12,1,200,14.9695
84,11160,3111,0,154,12,1,200,14.9695
85,6509,2242,0,85,12,1,200,14.9695
86,4178,5830,0,45,12,1,200,14.9695
87,11751,4400,0,115,12,1,200,14.9695
88,8281,2213,0,78,12,1,200,14.9695
89,5837,10934,0,166,12,1,200,14.9695
90,11909,3271,0,186,12,1,200,14.9695
91,7727,5663,0,26,12,1,200,14.9695
92,3197,1735,0,55,12,1,200,14.9695
93,6574,12196,0,170,12,1,200,14.9695
94,11569,6893,0,35,12,1,200,14.9695
95,5366,2487,0,137,12,1,200,14.9695
96,8962,3938,0,63,12,1,200,14.9695
97,4745,9705,0,165,12,1,200,14.9695
98,11907,10608,0,66,12,1,200,14.9695
99,11319,689,0,70,12,1,200,14.9695
100,7266,7687,0,49,12,1,200,14.9695
101,12142,11825,0,8,12,1,200,14.9695
102,3244,4604,0,139,12,1,200,14.9695
103,12001,6925,0,43,12,1,200,14.9695
104,7912,4513,0,47,12,1,200,14.9695
105,6640,9266,0,94,12,1,200,14.9695
106,6432,2992,0,78,12,1,200,14.9695
107,6413,2401,0,39,12,1,200,14.9695
108,9720,13,0,77,12,1,200,14.9695
109,1614,6131,0,76,12,1,200,14.9695
110,1686,9147,0,192,12,1,200,14.9695
111,9301,2296,0,136,12,1,200,14.9695
112,7180,8860,0,159,12,1,200,14.9695
113,11473,5319,0,100,12,1,200,14.9695
114,11747,6940,0,86,12,1,200,14.9695
115,6796,8876,0,10,12,1,200,14.9695
116,7567,9881,0,94,12,1,200,14.9695
