id,x,y,z,deadline,sf,gateways,windowlength,slotlength,delay
1,500,21404,0,201,12,3,699,14.9695,92.367
2,21753,1513,0,529,12,2,699,14.9695,5080.143
3,21851,2908,0,217,12,2,699,14.9695,2253.231
4,11189,21333,0,463,12,4:3,699,14.9695,2075.859
5,11477,5060,0,680,12,1:2,699,14.9695,5754.592
6,19854,20701,0,468,12,4,699,14.9695,33.174
7,13048,4211,0,562,12,2:1,699,14.9695,459.283
8,10036,6227,0,675,12,1:2,699,14.9695,3436.615
9,10915,15091,0,136,12,4:3,699,14.9695,1347.708
10,1964,12857,0,455,12,3:1,699,14.9695,2140.562
11,16588,19351,0,467,12,4,699,14.9695,5314.915
12,17913,19324,0,312,12,4,699,14.9695,3617.021
13,5391,10475,0,604,12,1:3,699,14.9695,475.328
14,4108,409,0,312,12,1,699,14.9695,983.859
15,13514,4406,0,300,12,2:1,699,14.9695,2236.562
16,14669,21692,0,402,12,4,699,14.9695,2865.720
17,9544,9464,0,460,12,1:3:2:4,699,14.9695,2002.000
18,8832,3074,0,301,12,1:2,699,14.9695,1541.800
19,1429,10334,0,112,12,1:3,699,14.9695,438.184
20,10296,4349,0,683,12,1:2,699,14.9695,7328.521
21,8182,18782,0,408,12,3:4,699,14.9695,4773.473
22,200,14452,0,628,12,3,699,14.9695,4061.403
23,2133,7464,0,273,12,1,699,14.9695,2645.799
24,9241,15849,0,473,12,3:4,699,14.9695,4106.994
25,21382,14001,0,683,12,4,699,14.9695,8981.974
26,15683,21658,0,24,12,4,699,14.9695,113.130
27,11607,21054,0,640,12,4:3,699,14.9695,1419.546
28,12786,18145,0,208,12,4:3,699,14.9695,222.958
29,7341,861,0,358,12,1,699,14.9695,5128.108
30,7257,2502,0,394,12,1,699,14.9695,1570.615
31,17657,18734,0,177,12,4,699,14.9695,1657.965
32,4507,7454,0,95,12,1:3,699,14.9695,908.199
33,15249,19449,0,427,12,4,699,14.9695,3399.310
34,16916,19344,0,262,12,4,699,14.9695,3096.631
35,11838,2890,0,364,12,2:1,699,14.9695,431.255
36,16471,12703,0,271,12,4:2,699,14.9695,748.400
37,5047,6438,0,262,12,1,699,14.9695,2341.532
38,243,16972,0,334,12,3,699,14.9695,2670.906
39,2615,12992,0,685,12,3:1,699,14.9695,7195.711
40,1324,9480,0,675,12,1:3,699,14.9695,5526.830
41,10612,20346,0,669,12,3:4,699,14.9695,7467.247
42,12412,15781,0,315,12,4:3,699,14.9695,4580.552
43,12627,456,0,547,12,2:1,699,14.9695,6943.723
44,10029,14072,0,263,12,3:4:1,699,14.9695,1893.553
45,21213,9890,0,559,12,2:4,699,14.9695,2800.685
46,12645,11233,0,47,12,4:2:1:3,699,14.9695,381.291
47,16104,3290,0,685,12,2,699,14.9695,1610.303
48,3115,714,0,257,12,1,699,14.9695,66.573
49,21342,12879,0,560,12,4:2,699,14.9695,3870.400
50,294,20160,0,250,12,3,699,14.9695,2969.395
51,17504,5719,0,66,12,2,699,14.9695,172.631
52,9284,20243,0,330,12,3:4,699,14.9695,870.819
53,5906,1806,0,49,12,1,699,14.9695,399.730
54,18038,9850,0,507,12,2:4,699,14.9695,5682.347
55,14595,13025,0,144,12,4:2,699,14.9695,958.217
56,5120,17234,0,204,12,3,699,14.9695,222.364
57,9897,9298,0,71,12,1:2:3:4,699,14.9695,394.081
58,8563,10673,0,183,12,1:3:4,699,14.9695,2448.923
59,10993,8883,0,306,12,1:2:4,699,14.9695,3733.508
60,924,3668,0,113,12,1,699,14.9695,1378.304
61,5830,5086,0,274,12,1,699,14.9695,2314.050
62,11977,21292,0,413,12,4:3,699,14.9695,3548.301
63,6330,10514,0,613,12,1:3,699,14.9695,3131.183
64,5489,14484,0,26,12,3:1,699,14.9695,160.050
65,3524,16509,0,439,12,3,699,14.9695,2535.330
