id,x,y,z,deadline,sf,gateways,windowlength,slotlength,delay
1,3756,21375,0,71,12,3,1400,14.9695,589.782
2,276,17168,0,860,12,3,1400,14.9695,11010.463
3,21094,3001,0,757,12,2,1400,14.9695,3101.359
4,16778,5413,0,780,12,2,1400,14.9695,2739.181
5,4326,18072,0,1162,12,3,1400,14.9695,11005.655
6,1590,17130,0,558,12,3,1400,14.9695,2863.097
7,8762,10514,0,681,12,1:3:4,1400,14.9695,8208.980
8,14288,6237,0,713,12,2:1,1400,14.9695,4874.702
9,700,3720,0,152,12,1,1400,14.9695,1195.304
10,18120,20248,0,380,12,4,1400,14.9695,3589.609
11,908,15150,0,221,12,3,1400,14.9695,2307.437
12,18504,15343,0,726,12,4,1400,14.9695,896.751
13,7530,18923,0,1000,12,3:4,1400,14.9695,8516.878
14,13936,2807,0,1235,12,2:1,1400,14.9695,16478.904
15,9286,5056,0,624,12,1:2,1400,14.9695,1396.428
16,4667,4559,0,745,12,1,1400,14.9695,8770.740
17,21091,14648,0,1197,12,4,1400,14.9695,4906.637
18,12686,21715,0,908,12,4:3,1400,14.9695,6191.827
19,9541,2805,0,797,12,1:2,1400,14.9695,1420.216
20,5506,6350,0,1220,12,1,1400,14.9695,2610.787
21,19792,2941,0,386,12,2,1400,14.9695,5105.782
22,2515,12079,0,1247,12,3:1,1400,14.9695,5002.130
23,4577,20612,0,1281,12,3,1400,14.9695,2421.755
24,4567,13347,0,329,12,3:1,1400,14.9695,3872.371
25,1149,3699,0,511,12,1,1400,14.9695,6957.967
26,6201,17936,0,209,12,3,1400,14.9695,1302.686
27,5923,20975,0,1018,12,3,1400,14.9695,4435.476
28,20649,11872,0,583,12,4:2,1400,14.9695,5253.928
29,19262,19623,0,269,12,4,1400,14.9695,2683.896
30,4119,4319,0,210,12,1,1400,14.9695,978.527
31,9824,13841,0,320,12,3:4:1,1400,14.9695,93.238
32,9011,10243,0,916,12,1:3:4,1400,14.9695,7893.675
33,15898,19489,0,899,12,4,1400,14.9695,5246.054
34,18503,7732,0,1371,12,2:4,1400,14.9695,8786.184
35,2477,13258,0,1390,12,3:1,1400,14.9695,6324.788
36,937,11217,0,1195,12,3:1,1400,14.9695,9924.391
37,1234,6113,0,752,12,1,1400,14.9695,10587.619
38,877,15968,0,1344,12,3,1400,14.9695,486.724
39,8733,12641,0,537,12,3:1:4,1400,14.9695,5349.169
40,8255,4080,0,586,12,1,1400,14.9695,2154.535
41,9836,2351,0,898,12,1:2,1400,14.9695,11175.547
42,15693,11461,0,1290,12,4:2,1400,14.9695,15491.205
43,12865,19701,0,610,12,4:3,1400,14.9695,8580.574
44,67,322,0,442,12,1,1400,14.9695,961.567
45,14219,1552,0,1308,12,2,1400,14.9695,5502.405
46,9339,10635,0,400,12,1:3:4,1400,14.9695,2409.026
47,6012,4434,0,1154,12,1,1400,14.9695,6963.912
48,9894,13943,0,96,12,3:4:1,1400,14.9695,947.607
49,4759,682,0,636,12,1,1400,14.9695,4129.732
50,15880,5150,0,626,12,2,1400,14.9695,1665.364
51,17548,5756,0,942,12,2,1400,14.9695,13747.184
52,10556,15245,0,1237,12,4:3,1400,14.9695,9688.916
53,2204,7638,0,1305,12,1,1400,14.9695,2843.219
54,445,5496,0,1015,12,1,1400,14.9695,14215.975
55,7151,6321,0,380,12,1,1400,14.9695,1376.161
56,764,20858,0,634,12,3,1400,14.9695,4694.419
57,20115,4672,0,1336,12,2,1400,14.9695,15181.020
58,17801,7799,0,258,12,2:4,1400,14.9695,3220.571
59,9019,20903,0,1000,12,3:4,1400,14.9695,12281.686
60,5676,588,0,1387,12,1,1400,14.9695,20528.551
61,21096,18850,0,341,12,4,1400,14.9695,1760.852
62,6088,13916,0,149,12,3:1,1400,14.9695,1252.174
63,21359,11753,0,720,12,4:2,1400,14.9695,7377.181
64,16441,20374,0,1286,12,4,1400,14.9695,5330.923
65,15000,20441,0,809,12,4,1400,14.9695,4632.876
66,15507,17315,0,947,12,4,1400,14.9695,3862.229
67,12968,19397,0,208,12,4:3,1400,14.9695,2764.482
68,11159,21262,0,205,12,4:3,1400,14.9695,187.012
69,21691,21504,0,296,12,4,1400,14.9695,3448.981
70,10581,2014,0,999,12,1:2,1400,14.9695,1550.700
71,8376,21704,0,671,12,3,1400,14.9695,5876.931
72,21364,5956,0,1291,12,2,1400,14.9695,9820.505
73,7430,16812,0,1349,12,3:4,1400,14.9695,19233.989
74,12588,2035,0,226,12,2:1,1400,14.9695,506.147
75,13456,21038,0,1042,12,4,1400,14.9695,3287.083
76,10983,6958,0,465,12,1:2,1400,14.9695,2845.931
77,18850,21177,0,1110,12,4,1400,14.9695,6815.030
78,14503,7552,0,1266,12,2:4:1,1400,14.9695,1834.563
