id,x,y,z,deadline,sf,gateways,windowlength,slotlength,delay
1,10967,5678,0,2441,12,1,3200,14.9695,35769.469
2,3699,3658,0,679,12,1,3200,14.9695,9991.472
3,8672,8595,0,366,12,1,3200,14.9695,3255.616
4,561,642,0,2759,12,1,3200,14.9695,4250.436
5,2763,12360,0,1030,12,1,3200,14.9695,2576.085
6,10436,7491,0,871,12,1,3200,14.9695,11669.478
7,3113,739,0,2076,12,1,3200,14.9695,20120.622
8,3252,2948,0,2053,12,1,3200,14.9695,19939.148
9,8986,5191,0,2551,12,1,3200,14.9695,29669.662
10,647,1930,0,2905,12,1,3200,14.9695,33853.703
11,8907,694,0,2731,12,1,3200,14.9695,3048.713
12,7194,417,0,2060,12,1,3200,14.9695,13953.665
13,6862,5380,0,1306,12,1,3200,14.9695,10253.293
14,11872,6342,0,483,12,1,3200,14.9695,1594.982
15,3759,12341,0,187,12,1,3200,14.9695,10.866
16,1689,8640,0,1738,12,1,3200,14.9695,6443.929
17,4843,8354,0,2157,12,1,3200,14.9695,29652.979
18,5657,3648,0,477,12,1,3200,14.9695,770.021
19,2478,2986,0,253,12,1,3200,14.9695,2445.332
20,11567,301,0,961,12,1,3200,14.9695,5211.185
21,2864,3672,0,313,12,1,3200,14.9695,1748.300
22,2944,12145,0,205,12,1,3200,14.9695,102.060
23,694,6942,0,2963,12,1,3200,14.9695,37075.124
24,9145,11225,0,2254,12,1,3200,14.9695,27319.005
25,1755,4422,0,13,12,1,3200,14.9695,98.798
26,1978,4857,0,240,12,1,3200,14.9695,326.572
27,5542,4550,0,3053,12,1,3200,14.9695,12195.936
28,1171,2882,0,223,12,1,3200,14.9695,1491.718
29,10108,7743,0,613,12,1,3200,14.9695,7010.834
30,10280,5331,0,3020,12,1,3200,14.9695,32568.242
31,930,5613,0,1328,12,1,3200,14.9695,15701.645
32,2230,6364,0,1693,12,1,3200,14.9695,4322.564
33,5908,6774,0,1263,12,1,3200,14.9695,13446.375
34,1250,1583,0,1099,12,1,3200,14.9695,3613.097
35,8641,7634,0,1966,12,1,3200,14.9695,18933.289
36,9715,1049,0,972,12,1,3200,14.9695,3660.241
37,3446,11997,0,1584,12,1,3200,14.9695,11073.729
38,4274,4426,0,2808,12,1,3200,14.9695,27849.325
39,10768,9492,0,3182,12,1,3200,14.9695,2524.297
40,1535,3816,0,2307,12,1,3200,14.9695,9960.794
41,3760,10405,0,1008,12,1,3200,14.9695,10097.882
42,5858,6876,0,1497,12,1,3200,14.9695,9806.939
43,2991,7442,0,3133,12,1,3200,14.9695,46463.211
44,995,3184,0,1596,12,1,3200,14.9695,21355.979
45,8555,3859,0,1954,12,1,3200,14.9695,5738.088
46,12168,6376,0,451,12,1,3200,14.9695,6029.937
47,5798,9281,0,1005,12,1,3200,14.9695,7835.337
48,8109,9400,0,1737,12,1,3200,14.9695,2826.712
49,425,7006,0,1526,12,1,3200,14.9695,17668.370
50,5469,10204,0,915,12,1,3200,14.9695,10625.178
