id,x,y,z,deadline,sf,gateways,windowlength,slotlength,delay
1,20527,7996,0,73,12,2:4,95,14.9695,631.119
2,8406,15208,0,83,12,3:4,95,14.9695,150.998
3,13399,18870,0,44,12,4:3,95,14.9695,54.998
4,10237,1797,0,47,12,1:2,95,14.9695,94.938
5,14748,8895,0,4,12,2:4,95,14.9695,36.872
6,14208,15680,0,50,12,4:3,95,14.9695,76.267
7,17707,6978,0,85,12,2:4,95,14.9695,1119.457
8,14599,7742,0,37,12,2:4:1,95,14.9695,518.223
9,10208,11269,0,16,12,1:4:3:2,95,14.9695,191.260
10,12078,1024,0,72,12,2:1,95,14.9695,781.275
11,19921,10098,0,19,12,2:4,95,14.9695,4.058
12,9162,21042,0,54,12,3:4,95,14.9695,367.763
13,905,9443,0,90,12,1:3,95,14.9695,583.763
14,1686,17973,0,56,12,3,95,14.9695,199.873
15,8993,395,0,91,12,1,95,14.9695,956.138
16,16034,4078,0,21,12,2,95,14.9695,156.813
17,302,17022,0,26,12,3,95,14.9695,4.068
18,1781,7446,0,5,12,1,95,14.9695,51.014
19,19786,12749,0,24,12,4:2,95,14.9695,136.604
20,8921,21849,0,67,12,3,95,14.9695,428.250
21,1029,12771,0,9,12,3:1,95,14.9695,101.282
22,14106,2970,0,56,12,2:1,95,14.9695,172.191
23,15233,19580,0,71,12,4,95,14.9695,446.176
24,1635,5288,0,27,12,1,95,14.9695,223.715
25,3492,12994,0,48,12,3:1,95,14.9695,476.978
26,10256,1348,0,16,12,1:2,95,14.9695,152.396
27,20712,2327,0,73,12,2,95,14.9695,210.553
28,3806,8510,0,57,12,1:3,95,14.9695,221.277
29,11167,7177,0,5,12,1:2,95,14.9695,23.530
30,4999,8754,0,11,12,1:3,95,14.9695,145.788
31,13902,4128,0,31,12,2:1,95,14.9695,288.236
32,11106,16537,0,28,12,4:3,95,14.9695,299.661
33,11196,10776,0,87,12,4:1:2:3,95,14.9695,481.623
34,20424,12691,0,10,12,4:2,95,14.9695,16.317
35,12778,15538,0,65,12,4:3,95,14.9695,371.960
36,2027,8375,0,43,12,1:3,95,14.9695,491.245
37,20502,19117,0,41,12,4,95,14.9695,19.218
38,18003,16100,0,27,12,4,95,14.9695,45.567
39,13029,4152,0,12,12,2:1,95,14.9695,37.651
40,20081,15371,0,56,12,4,95,14.9695,230.271
41,16788,20467,0,75,12,4,95,14.9695,673.626
42,16486,19093,0,72,12,4,95,14.9695,700.998
43,10103,9792,0,67,12,1:4:3:2,95,14.9695,55.692
44,10836,4653,0,79,12,1:2,95,14.9695,421.418
45,10179,9263,0,92,12,1:2:4:3,95,14.9695,1361.766
46,7085,16775,0,84,12,3:4,95,14.9695,283.338
47,4075,16757,0,83,12,3,95,14.9695,373.628
48,4403,17629,0,54,12,3,95,14.9695,470.989
49,13647,21093,0,61,12,4,95,14.9695,536.559
50,20091,5030,0,50,12,2,95,14.9695,464.160
51,6935,63,0,73,12,1,95,14.9695,571.119
52,5282,6306,0,84,12,1,95,14.9695,552.735
53,13211,18200,0,87,12,4:3,95,14.9695,290.440
54,3500,20202,0,4,12,3,95,14.9695,3.620
55,1409,5346,0,56,12,1,95,14.9695,400.142
56,12816,9640,0,71,12,2:4:1,95,14.9695,97.742
57,17637,8147,0,33,12,2:4,95,14.9695,157.425
58,4782,7662,0,89,12,1:3,95,14.9695,1180.742
59,19551,6207,0,78,12,2,95,14.9695,519.888
60,9063,14527,0,6,12,3:4:1,95,14.9695,9.889
61,19827,10234,0,34,12,2:4,95,14.9695,273.438
62,6707,4322,0,73,12,1,95,14.9695,57.796
63,4472,1987,0,37,12,1,95,14.9695,153.524
64,10980,733,0,63,12,1:2,95,14.9695,580.348
65,20842,2187,0,42,12,2,95,14.9695,181.153
66,4614,7500,0,15,12,1:3,95,14.9695,116.540
67,4514,16511,0,25,12,3,95,14.9695,153.766
68,6890,19153,0,15,12,3,95,14.9695,66.647
69,1674,17649,0,90,12,3,95,14.9695,39.448
70,7054,2501,0,46,12,1,95,14.9695,28.186
71,6492,9159,0,20,12,1:3,95,14.9695,244.306
72,9710,21622,0,67,12,3:4,95,14.9695,228.308
73,4120,17266,0,18,12,3,95,14.9695,151.808
74,121,14316,0,68,12,3,95,14.9695,238.812
75,3036,4034,0,72,12,1,95,14.9695,292.374
76,8365,12321,0,52,12,3:1:4,95,14.9695,746.219
77,14004,6953,0,16,12,2:1:4,95,14.9695,115.797
78,9735,3424,0,70,12,1:2,95,14.9695,977.934
79,6052,15020,0,40,12,3:1,95,14.9695,9.557
80,7625,1260,0,5,12,1,95,14.9695,36.229
81,7545,10736,0,33,12,1:3,95,14.9695,256.829
82,21148,10769,0,46,12,2:4,95,14.9695,352.694
83,19920,9810,0,84,12,2:4,95,14.9695,17.277
84,17149,21873,0,86,12,4,95,14.9695,1023.321
85,17012,9838,0,23,12,2:4,95,14.9695,2.991
86,3890,7878,0,63,12,1:3,95,14.9695,603.876
87,15206,15959,0,56,12,4,95,14.9695,166.396
88,3191,14415,0,62,12,3:1,95,14.9695,494.331
89,2383,14300,0,37,12,3:1,95,14.9695,375.229
90,18058,10931,0,11,12,2:4,95,14.9695,40.497
91,9660,309,0,89,12,1,95,14.9695,952.871
92,1990,3374,0,34,12,1,95,14.9695,252.459
93,1722,7987,0,18,12,1,95,14.9695,106.568
94,13231,21428,0,52,12,4,95,14.9695,591.924
95,6306,18169,0,4,12,3,95,14.9695,32.996
96,10651,21102,0,38,12,3:4,95,14.9695,52.652
97,12570,17977,0,25,12,4:3,95,14.9695,302.016
98,5482,5549,0,35,12,1,95,14.9695,475.971
99,886,4756,0,34,12,1,95,14.9695,276.055
100,1409,1978,0,83,12,1,95,14.9695,711.052
101,6290,2867,0,75,12,1,95,14.9695,170.677
102,20685,11672,0,63,12,4:2,95,14.9695,811.752
103,20104,1485,0,23,12,2,95,14.9695,268.163
104,11445,7365,0,72,12,1:2,95,14.9695,794.464
105,4293,2683,0,24,12,1,95,14.9695,331.601
106,12907,14373,0,19,12,4:3,95,14.9695,166.606
107,6998,13913,0,5,12,3:1:4,95,14.9695,42.833
108,20845,11943,0,24,12,4:2,95,14.9695,173.400
109,17168,8809,0,76,12,2:4,95,14.9695,1072.681
110,20951,19276,0,46,12,4,95,14.9695,81.174
111,1419,4153,0,9,12,1,95,14.9695,15.917
112,16655,3535,0,66,12,2,95,14.9695,735.611
113,5194,1384,0,22,12,1,95,14.9695,115.245
114,15367,21545,0,93,12,4,95,14.9695,1254.078
115,9737,18712,0,59,12,3:4,95,14.9695,629.436
116,15445,7634,0,17,12,2:4,95,14.9695,146.040
117,5416,19588,0,62,12,3,95,14.9695,107.281
118,18989,8124,0,29,12,2:4,95,14.9695,6.448
119,9883,18274,0,76,12,3:4,95,14.9695,554.024
120,15675,12216,0,36,12,4:2,95,14.9695,356.879
121,15713,19848,0,16,12,4,95,14.9695,221.249
122,1897,13404,0,58,12,3:1,95,14.9695,151.223
123,8440,13236,0,14,12,3:4:1,95,14.9695,49.252
124,15067,18624,0,8,12,4,95,14.9695,45.081
125,3424,835,0,43,12,1,95,14.9695,321.109
126,9287,17824,0,82,12,3:4,95,14.9695,32.922
127,6366,975,0,51,12,1,95,14.9695,347.801
128,6781,13925,0,54,12,3:1:4,95,14.9695,575.744
129,4350,18544,0,74,12,3,95,14.9695,733.780
130,10108,15248,0,71,12,3:4,95,14.9695,481.170
131,13138,710,0,6,12,2:1,95,14.9695,68.535
132,12610,3563,0,26,12,2:1,95,14.9695,20.899
133,21135,9385,0,36,12,2:4,95,14.9695,11.998
134,13649,2373,0,41,12,2:1,95,14.9695,394.800
135,13020,19725,0,16,12,4:3,95,14.9695,210.503
136,9382,8638,0,32,12,1:2:3,95,14.9695,14.310
137,3869,10087,0,91,12,1:3,95,14.9695,1287.769
138,14247,13112,0,46,12,4:2,95,14.9695,347.904
139,21911,12205,0,7,12,4:2,95,14.9695,67.708
140,5558,18413,0,66,12,3,95,14.9695,696.612
141,10391,13556,0,47,12,4:3:1,95,14.9695,308.440
142,12746,1720,0,76,12,2:1,95,14.9695,242.822
143,13930,11039,0,14,12,4:2,95,14.9695,43.538
144,9478,10488,0,12,12,1:3:4,95,14.9695,162.807
145,6434,2526,0,50,12,1,95,14.9695,419.470
146,2462,1359,0,6,12,1,95,14.9695,63.905
147,21752,4286,0,30,12,2,95,14.9695,47.388
148,19763,16968,0,21,12,4,95,14.9695,211.305
149,11947,8357,0,61,12,2:1:4,95,14.9695,530.888
150,12682,13799,0,35,12,4:3,95,14.9695,11.666
151,16768,14154,0,89,12,4:2,95,14.9695,449.019
152,6714,12920,0,21,12,3:1,95,14.9695,256.866
153,12830,20941,0,8,12,4:3,95,14.9695,25.285
154,15281,1069,0,7,12,2,95,14.9695,14.043
155,8279,2958,0,29,12,1,95,14.9695,80.280
156,11791,4837,0,40,12,2:1,95,14.9695,136.846
157,2945,3534,0,65,12,1,95,14.9695,662.357
158,17991,2578,0,37,12,2,95,14.9695,206.228
159,553,18409,0,35,12,3,95,14.9695,201.394
160,8984,4789,0,16,12,1:2,95,14.9695,123.617
161,2297,3318,0,61,12,1,95,14.9695,616.483
162,10095,5870,0,78,12,1:2,95,14.9695,725.351
163,18818,771,0,47,12,2,95,14.9695,112.006
